Project Title,Country of Origin,First Name,Last Name,Synopsis,Trailer URL
WHERE,China,YUANXUN,LI,"Director Isaac Lee made an anti war film in his third year of college. It is starred by an Italian foreign actor and a Chinese friend. The film was shot in April 2022. Synopsis: in a local war, a displaced little boy, wearing his mother's scarf, finds a hiding place in the ruins; The man who lost his position began to play cat and mouse with the little boy.",
Hode (Head),Norway,Helene,Torp,"A little film aboat a lettuce person baking muffins to their neighbor, but is a bit too anxious to go out and deliver them.",
"Edgar, Evicted",United States,Beecher,Reuning,"After being kicked out of their house by his son, an aging retiree sets out to make a new home for himself before his oxygen tank expires",
Prague Vienna,Czech Republic,Maja,Górczak,"During a hitchhiking trip, a young couple has to deal with several inconveniences that they blow out of proportion. From an annoyingly overprotective mother to being lost in the middle of nowhere while wearing uncomfortable shoes  - everything seems to stand in the way of the couple’s happy vacation.  ",
Quandary,Turkey,Sefa,Akbulut,"In a world where vitality is gradually decreasing due to environmental pollution, the fisherman who cannot find food establishes a bond with the fish he caught in the lake as a result of long efforts. He is torn between hunger and conscience. ",
Everything I Never Said,United States,Nahyr,Galaz Ruiz,Two life-long friends endure a painful goodbye in this story about the love that could've been. ,
"Tres. Súbase, agárrese y cállese ",Mexico,Jorge Enrique,G. Venegas,"­La unidad 35 es el reino prestado y volátil de Beto, chofer de la ruta 3 en la ciudad de Puebla. En cada vuelta, Beto debe demostrarle a todo aquel que se interponga en su rutina que ÉL tiene el control sobre su reinado. Al llegar el mediodía, Beto lidia desde su trono con la incertidumbre del trayecto; la aglomeración, la autoridad y el crimen, amenazan con mandar todo a la chingada. Pero para Beto no hay mejor manera de lidiar con el tedio que manteniendo el control del caos, haciendo que las cosas pasen y asegurando SU regreso a casa.",
The Seagull,China,jiayang,zhou,"Xu Haiou, who loves drama, could not let go of the frustration in  art college entrance examination and drop out to prepare for re- study quietly.   Suffering from mother's ironics and impatience，he broke the door and, with nowhere to go, went to his ex-girlfriend who was admitted to his ideal college，ironnically.      In the process, he finally realized his mediocrity .One day，in the theater, Chekhov's ""Seagull"" is being staged.Xu was confused as if his mirror image is on the stage.The boundary between illusions and reality is more and more vague, and a doomed ending will be written in his story..",https://vimeo.com/manage/videos/756145037
Campeche Island World,Brazil,Cláudio,Felippio Júnior,"Campeche Island is a scenic and archaeological heritage listed by IPHAN. Known for its crystal clear waters and rock engravings, the island is one of the main tourist destinations in Santa Catarina. Therefore, the documentary presents the agents who work daily in maintaining its environmental and cultural value preserved. ",
Retun Rate,Brazil,Matheus,Vieira,"Rate of Return documented the history of the São Pedro community, a simple village characteristic of the Brazilian state of Minas Gerais, which had their lives radically changed with the arrival of the mining company ZNN. History that repeats itself since the arrival of Europeans colonizers to the country. The documentary is a sensorial experience that, with moving images, sounds and testimonies, presents the impact of mining activity in the region.",https://vimeo.com/580335788
Colors are Speaking,"Iran, Islamic Republic of",Zhivar,Sedaghat,"The documentary is on traditional dyeing of the Kashan city as one of the most important textile centers in Iran. This traditional job is in danger of extinction. We aimed to document the process of one of the mostly used colors in this city, navy blue, to show the difficulties of being a natural dyer and on the other hand to look for support to prevent its distinction. Preventing the jobs’ extinction is actually an important step towards preservation of nature by protecting it from danger of chemical dyes entering into the nature and this is what matters the most to us.",
Terrific desire of life,Italy,Francesco,Matera,"Led by Marta and Stanislao within the community “La Mammoletta” on the Island of Elba – a wonderful Italian island off the Tuscan coast – a group of girls and boys who have suffered from various types of social difficulties and addictions from an early age make a recovery path based on commitment, listening and love. The daily activities, from taking care of the vegetable garden to preparing food, from writing an intimate diary to sailing trips, contribute to the rebirth of the kids to recover their self-confidence and the joy of living. Perhaps their experience and the values they acquire along the way can also prove to be very important for building a better society and for the life of each of us.",https://www.youtube.com/watch?v=BhXQpUAHj54
FROM SEVEN TO SEVENTY ,Turkey,ÖMÜR,GÜRGEN,"Musa Agun is a master of crafts. He considers the apprenticeship profession as manual labor that requires skill, tact, and is transmitted with love, labor, and perseverance. He complains about not being able to pass on his profession to future generations because he didn't grow up to be an apprentice. He expresses that he cannot teach the new generation the master's works made with labor, and the role of the family is great for the upbringing of the apprentice. Nowadays, apprenticeship problems are experienced in every field where artisanship is tried to be maintained. One of those masters is Musa Agun. All he wants is for apprentices from all age groups to come and teach his profession and keep his profession alive in the years after that. At the same time, Master Musa attributes the failure of apprentices to families. He tells them to work hard for this and to be patient. As Master Musa said, “Where are those old apprentices?” Musa passion for this job for years comes from the fact that he fell in love with his job. He wants education programs to be of high quality, government agencies to open vocational courses and support such lost professions. Together, he invites the masters to unite, join hands and solve the apprentice issue. "" Come, let's all experience art together, solve it and produce as much as we can."" he says. He wants to keep art and traditions alive for as long as he can and train good apprentices.",
It Is Love,Costa Rica,José,Rodríguez,"A year ago, Costa Rica became the first Central American country and the sixth in all of Latin America to recognize the legal right to same-sex marriage, a historic step in the recognition of universal human rights. Based on three true stories, our animated music video ES AMOR, celebrates this important milestone and sings to the world that love is always love. Carlos, a married man with two daughters, dares to reveal his true sexual identity to his family; Ale, a trans woman manages to finally reconcile with the image in the mirror and accept herself; and Jaz and Lalay, two young lovers must confront their family and society in order to get married. The three stories are intertwined with historical events to recognize the struggle of thousands of people and organizations in Costa Rica. The project involved more than 30 people including musicians, visual artists and digital animators, and seeks to promote respect, love and solidarity among all people.",https://www.youtube.com/watch?v=Ik8NJLeTdZc&t=103s
Lonely Meadow,China,Ye,Tian,"The girl goes to the park at dusk, this want to escape from the sight of the family, to look for that piece of grass in the heart, but did not expect to be followed by the family, the result was unexpected...",https://youtu.be/mtCpMWKG-90
Yellow Line,"Iran, Islamic Republic of",Katayoun,Parmar,A girl who`s trying to be a dancer but there are problems that she has to face in her path...,
Radiant Ties,United States,Juli,Sasaki,"A son reminds his mother, who is surrounded by darkness, that there is still beauty in the world. ",
3 Stations 1 Life,Turkey,Rıfkı,Ünal,"3 Stations 1 Life documentary film tells the story of Orhan Okur, who is dedicated to selling scandals at train stations of Arifiye, Adapazarı and Sapanca districts, which is one of the most important train connections of our country, and tells the story of station culture and Cotton Candys sellers from our lost values.",https://vimeo.com/235166667
What is Stop Motion Animation?,United States,Erika,Lynn,An old puppet teaches the newbie armature about the wonderful world of stop motion animation.,
A Drop of Time,India,Iniya,Vasanthan,"Oru Thuli Pozhuthu (A Drop of Time) is a short fiction film which revolves around an estranged father-son relationship. Amudhan visits his home after his father’s demise. As he recollects his memories the moments with his father, he finds a bunch of unsent letters written by his father.",
Sargam,India,Riya,Patwardhan,"A daughter who has always seen her mother as a motherly figure, sees her as a 'woman' for the first time with the help of her mother's long lost love and understands the sense of embracing individuality. The story unfolds through a musical journey.",
Battlers with a broken wing,India,Sathik,Basha,The documentary speaks about the battles and suffering of the patients who have suffering and fighting against the autoimmune disease called Multiple sclerosis .,
The Space,Lithuania,Ugne,Litvinaite,"The film is a walkthrough of three homes in Lithuania, with a narration of stories of both the homes themselves, and the owners. The project explores faded memories of home, and how it is impossible to remember everything exactly as it is.",
Through Her Eyes,United States,Triauric,Studios,"Through Her Eyes is a period drama about Rosalee, a timid African American teenager, struggling with self-esteem. After deciding to attend a newly integrated school, she finds the confidence to overcome the racial prejudice surrounding her and take the entrance exam.",https://vimeo.com/521133221
Rebirth,Canada,Reel,Collective,,
Border,Qatar,Doha,Film Institute,"In an abstrusely dystopian future, a man wants to go back to his family. But bypassing the latest system becomes a near impossible journey",
In Between Glass and Walls,Netherlands,Wind,Cinema,"Anne couldn’t accept her own child Felix, who was born with Down syndrome. Anne tries to process her struggle through making theater with Sara, a 32-year-old woman with Down syndrome. Will it be possible for Anne to connect with her motherhood through her encounters with Sara? ",https://www.youtube.com/watch?v=HB5mn1Eu8OE
Kaid Panchi ,Pakistan,Haniya,Muhammad Shoaib,"Kaid Panchi"" is a gripping story  of a14-year-old girl facing an arranged marriage to a much older man. Despite her resistance, Namrah's pleas for education and freedom are met with anger from her father. As her cherished possessions are taken away, her cousin offers a symbol of hope, a bear on her wedding night. With tears in her eyes, Namrah clings to the bear, embarking on a journey into an uncertain future.",
SOLO,United Arab Emirates,Nourin,Zakaria Mohamed,"Haunted by the memory of her best friend's assault during a piano lesson, college student Noel is requested to perform at a prestigious event. Torn between facing her painful past or running from it, she grapples with anxiety and self-doubt. As the performance date approaches, Noel must find the courage to reclaim her passion and confront her past, discovering her own strength along the way.",
The Way Home,Taiwan,Jolen,Shan,"On one warm morning, Ben's owner lay motionless on the sofa, starving and looking at his empty bowl. The wind blew the door open and Ben ran out of the house to see a colorful fantasy world, setting off on an adventure to save his owner.",
through shadows,United States,Kelly,Chase,"The film explores acceptance of the many versions of the self - and the hardships that come with the journey to self-acceptance. The director, Kelly Chase, used her experience of self-acceptance as a queer woman as the driving inspiration of the dance film.",
THE SOUL. THE CHOICE. THE DEATH.,Russian Federation,Mila,Hanzina,"The hero forswore the main divine gift — love and condemned himself to reclusion. He has punished himself with ten years of silence by settling in a deep forest but he couldn't cope with existential loneliness. The hermit can’t forgive himself and drowns the bath house in order to fall into eternal sleep. But until his final choice is made, his Soul and Death are talking about love, loneliness and faith.",
"Little Girl, Big Imagination: In the Forest",Canada,Andrea,Matei,The second episode of the short dance mini web series take little girl Gabi on a stroll to the forest where she encounters a tiny creature come to life . ,
SMILE,Italy,Giovanna,Gambino,"We are in 2070, now feel emotions has become illegal, everything that can trigger an emotion is destroyed. Noa, an ambitious young man who wants to make a career, discovers that there is still a cinema in business . He goes to denounce the activity, but by entering to see , watch the film he ends up getting excited too and becoming what he denounces and destroys.",
Remember: Pilot ,South Africa,Luyanda,Sosibo,"Life is a journey and often there is an emphasis on the journey to appear to be moving forward. However that is the thing about ones own journey. It does not have to appear to be anything other than what it is and means for that person. Remember is pilot to a series in development, largely exploring these themes creatively and sharing the journey and stories of our province. ",
Kute,United States,Ethan,Garstka,A fan-made music video for the song “Kute” by Alex G,
Crossing the color line - healing from the past,Italy,Sabrina Onana ,Documentary,"While the political-media discourses focus on the ""migration crisis"", the policies linked to it or the news events involving ""immigrants"", in the second part of the docu-film ""Crossing the color line - healing from the past"" the Italian Afro-descendants express themselves in the first person on these (rendered) controversial issues. Carriers of a migratory background, and therefore of a double inheritance, but also of the immigrant's stigma for their phenotypic aspect in a country where national identity and ""whiteness"" are still inseparable in the collective imagination, the ""Afro-Italians"" - whose presence is not yet normalized - are often perceived as disturbers of the ethnic-cultural balance of their country, which questions their Italian character and considers them as an exogenous presence that must ""integrate"" and not ""communitarise"", or '' go back to your own country ''. Beyond categories and theories, this documentary wants to offer the possibility of directly accessing the stories, concerns and needs of a minority whose experience allows us to understand the national anchoring of global social movements such as Afro-feminism. or anti-racism, informing us at the same time on the specificities of the Italian context. Past and present are intertwined through the experiences of the people interviewed and the historical excursus on Italian and European colonial history, allowing us to understand not only how the Other, the racialized African, came to be created over the centuries, but also the way in which this perception continues today to structure common sense and individual experiences. In a hyper-connected and globalized world, is it still possible to oppose a ""We"" to a ""You"" in an antagonistic way? In any case, it is urgent to understand the contemporary consequences of a collective past that has left a mark on individual and national consciences. A sign that distorts relationships with oneself and with others and from which, even today, people try to heal.",
ENVISION,United States,Anna,Jose,"This short film is about the work the non profit Thinking Huts has been carrying out in Madagascar to close the education gap. Thinking Huts, an international nonprofit on a mission to increase global access to education by leveraging humanitarian-driven technology solutions to build schools in partnership with communities in developing countries. I wanted to reach out and share our short film to see our 3D printing process to construct our schools.",
Hidden,United Kingdom,Molly,Glinn,"A documentary short about a choir, their stories, a pandemic and the city that brings them together. ",
Against The Tide: A Woman's Journey,United Kingdom,Sam,Butler,"Following the journey of a young none-swimmer, Louise sets herself a goal to swim a distance in the open ocean of North Devon. She seeks the advice and guidance of an all-female wild swimming group where she discovers the power of womanly camaraderie. ",
Shuchikisa,El Salvador,Ad,Michelson,"the issue of femicides is addressed in a cultural way, and the fight against impunity",
Lost Time,Mexico,Garibay,A.,Anto travels to the depths of his most loved memories with Julián...,
HOJARASCA - The Hidden Hope,Chile,Hojarasca,La Esperanza Oculta,"Described by Charles Darwin, but discovered long before. Darwin's Frog is emblematic because it sings like a bird, looks like a leaf, and males are in charge of growing the tadpoles inside their buccal cavity. This species is endemic to the temperate humid forest of Chile and Argentina. It is currently in danger of extinction due to threats to the environment where it lives. However, Verónica Toledo is a Chilean biologist who has spent 15 years of her life studying the frog to understand its biology in scope of its protection. The reality of a mother, who leaves her home for long periods of time to search for this species and save it from extinction, becomes a family effort. Julieta, her eldest daughter, asked her as a birthday present to travel with her to meet the famous Darwin's Frog. Together they understand that within a forest there is a whole story, that each living being has a function in the ecosystem, that human beings are also part of nature, and that is up to us that the Darwin's Frog continues to exist.",
Paper,Nepal,Chandra,Nepali,A rural village boy who is deaf by birth wants to study along with his sister but can't.,
Bumper,Malta,Mark,Trapani,"In 2021, the UK entered a cost-of-living crisis, with Justin & Bumper at its forefront. A UK housing charity revealed that it was receiving more than 1,000 calls a day in November 2022, 70% of which would express fear of the soaring costs and their deteriorating housing conditions. Poor mental health can be both a cause and consequence of homelessness. This film tells the story of how Justin copes with all this thanks to his partner in life. ",
KADHAL 3 ADI,India,festival,filmrh,"Kaadhal Moondru Adi revolves around the romance, which blossoms between two people of restricted growth and the short film records their love and married life, the difficulties they face, the social stigma, the societal pressure and everything. Still, how it’s only the society that looks them small, but they stand so tall by way of their hearts.  The final moments highlight how nothing needs to be perfect in life for happiness. While happiness truly exists, even within the family of parents with restricted growth besides autism son, everything else becomes favorably perfect.",
The Last Blood,China,Zhang,wenzheng,The mosquito family has the darkest moment of their lives...,
Trans-Formation,United Kingdom,Joel,Gonzalez Prades,A documentary about a trans man and his secrets in life.,
Bleeding Colors,India,Adithya,Sky,"In this modern world where most people believe the concept of discrimination and unjust in forms of ones physical attributes are reducing and we have embraced our differences through time, but is it really gone or is it changing its forms and adapting to the modern world? is the shadows of the long traumas that the world had to go through still reverberating in the modern society in different forms and effecting the new generations?",
ANARRIÊ,Brazil,ASTERIO,NETO,"LINK YOUTUBE LEGENDA EM INGLÊS: https://youtu.be/_KEkRAjzG1w LINK YOUTUBE LEGENDA EM PORTUGUÊS: https://youtu.be/tI6qrjj_BZ0  ENG Quadrilhas Juninas are no longer about lace and used cloth. Between screams, sweat and dancing, Renan and Alana rehearse anxiously waiting for the big day.  ESP* Quadrilhas Juninas ya no se trata de encajes y telas usadas. Entre gritos, sudor y baile, Renan y Alana ensayan ansiosamente esperando el gran día. *la pelicula tiene subtitulos en español  BR/PT Quadrilhas Juninas não são mais sobre rendas e panos usados. Em meio a gritos, suor e dança, Renan e Alana ensaiam ansiosas esperando o grande dia.",
The Art of Transmission,Switzerland,Théo,Fragnière,"Mandana is a woman who tries to do well. Between two classes and a coffee, she tells us about her commitment as a visual arts teacher for young students in vocational training. Her acceptance of the camera allows us to follow her in her daily life and to discover her from several angles. Despite her smile, we perceive a modest artist to expose her works.",
Gund Kwok,United States,Xudong,Liu,"The Lion Dance is a folk dance from Asia that was performed exclusively by men in the past. “Gund Kwok” is the first women’s Lion Dance troupe in the U.S. Founded by Cheng Imm Tan, she and fifteen Asian women strive to break lingering stereotypes about the strength and images of Asian women.",https://vimeo.com/763017980
Lida,Russian Federation,Maria,Bezenkova,"The 33-year-old Lida Moniava has the voice of a little girl and the strength that superwomen from comics would envy. In high school, she was a volunteer in the oncology department of the Russian Children's Clinical Hospital, at 19 she organized a field service for terminally ill children ""House with a Lighthouse"", and seven years later opened a hospice for them. Lida is its co-founder and development director. This film is one year from the life of Lida Moniava and her adopted son Kolya. ",
The Last Skiers,United Kingdom,Veronica,Ciceri,"Eight countries across Europe have recorded their warmest January day ever, with temperatures in parts of North Italy, Switzerland and Germany hitting 20°C. According to researchers, the amount of snowfall in the Alps has decreased by more than 53% as of 2023. These projections put the future of ski resorts located at low and medium altitudes, as well as those without artificial snow systems, in greater danger.  249 Italian ski resorts were closed down in recent years. 138 remain temporarily shut down. To rebuild the ski lifts in these locations, however, politicians continue to spend millions of euros. The general feeling seems to be that a snow-free winter is likely to happen in the far future, rather than something that has already happened.  This documentary delves into the topic through the stories of a generation who experienced locations in Italy where global warming occurred decades ago. The protagonists skied in places that once were white ski slopes and which today have turned into arid, yellow slopes. Their memories are a precious collective statement of a fragile mountain that becomes essential to protect.",
𝐻𝑎𝑛𝑑,China,海全,王,"On an ordinary afternoon, an elderly person was about to pass away. In the last five minutes of her life, two daughters came to see her for the last time. During this time, the two daughters erupted in a fierce argument......",
Growing up,China,颖,刘,"In the contact with the people around me, I found that most of us have anxious mood more or less. At the age of high school, students are more likely to feel confused about their future and feel inferior when compare with others. However, they don’t know how to catch up with others and how to chase their dreams. Thus, many of my friends choose to give up and always depressed. While, I think, youth should not be like this, in such a precious time, we should laugh out loud, we should run wild, we should play it out, we should achieve our original ideals. I hope this production can inspire more people to enjoy their lives and live without any regrets.",
Vänner,United States,Anthony,Jakobs,Vänner tells the story of two male friends navigating their relationship after one confesses he has romantic feelings for the other.,https://www.youtube.com/watch?v=JsAwEVQXkd0&feature=emb_logo
Solace of the Sea,Sweden,Hugo,Carlsund,"The stories of a free diver, a surfer and an ice bather are woven together in this documentary about the calming powers of the ocean.  They have all experienced hardships and struggles in life but managed to find their way back to happiness and joy in the ocean.  How is our psyche and mood affected by the ocean and what it does the ocean mean to humans?",
Son of Man,Brazil,Samuel,Gomez Carvalhé,"Chaos created life, we created chaos that destroyed life. The Son of Man appears as a new hope.",
Sound of Nature,India,SANDEEP,RASAL,"The film shows how beautiful nature was created and even after having the best and sufficient resources for everyone, how mankind started  over-utilizing them without giving second thought, as if they are available only for their consumption. How they are destroying them, causing adverse effects like climate change and making things worse for the future. The film also shows mankind's path from beautiful nature to a destructive world and back, and how it is better to respect and protect nature and Mother Earth, which secures the future for us and next generation.",
The Last Sighting,United States,Sabrina,Dubner,"After six girls embark on a harmless camping trip, things quickly turn south. ",
Man-tis is love,Turkey,Erim,Cetinel,Through a turn of events two mantises fall in love,
Notas de partitura (Score notes),Spain,Casa del Cine,Ciudad Real,"Press Kit with a downloadable version (.mp4 H.264 + .srt English & Italian & Spanish subtitles):  https://drive.google.com/drive/folders/1_iuRgK3gduaLLqvnoIonhtbO59PWnEjH?usp=share_link YouTube Unlisted Link (English & Italian & Spanish subtitles): https://youtu.be/_dsz_Fx6HrE  Juan adora la música, su guitarra y componer. El proceso de creación siempre es complejo pero, con esfuerzo y dedicación, Juan puede encontrar a las musas.  Juan loves music, his guitar, and composing. The process of creation is always complex, but with effort and dedication, Juan can find the muses.",https://youtu.be/2PZkvDWZLxM
The Tape,Egypt,Sara,Ramzi,"Triggered by a scene at the park, Amal imagine all the scenarios she wished she lived.",
A Life's Work,Netherlands,Jasper,Witteman,An old man works on his last wooden figure while looking back on the most important memories of his life.,
Edho Jarigene,United States,Amigos,Production Work,"Ashwin is a writer and a day dreamer . His little anxiety  about movies and story telling makes him a writer and He starts writing a novel and went to narrate story to producer. The story all about four different story lines, all inspired from his surroundings. Maahi Is a guy who seeking for true live which not exist in world  the end of his career no one with him until Aditi came to his life . Krishana (Krish) is a bachelor desperate to get romance from girl he wants , whose only aim in life is to find a(ny) girl. Sravya is an independent woman who wants to follow her passion along with her friend Shashank , rather than be in the flow like normal Indian girl she don’t want to go marry in early age but her parents forcing her to marry soon. Couple ( Venkat & Keerthika) has a small family who started very good journey but slowly Keerthika listening to her friend Akhila ideas and Doubts she started doubted on her husband. There is no peace and love between husband and wife until wife realized her husband is innocent and these all stories are happened in Writer Dream ",
Southern Ural. Traces of Ages,Russian Federation,Matvey,Sholokhov,"Is it true that the distant ancestors of the residents of the Chelyabinsk region went to art galleries, almost did not eat bread and already made prosthetics for their hands? In the feature-documentary film ""Southern Urals. Traces of Centuries"" the viewer will learn about amazing scientific facts from the world of history, see the key tourist locations of the Chelyabinsk region and immerse themselves together with the hero of the picture in the atmosphere and aesthetics of the nature of the region.  Student ID of director: https://disk.yandex.ru/i/tgipZgZEvvbPzQ",
Orchid,Spain,Rut,Angielina,Music video,
The Kurds in Egypt through the ages,Iraq,Zhee,Kaml,"Kurds, like any other nation, have their own culture, traditions and history, but due to successive occupations and lack of unity, they have always been in crisis of war, displacement and destruction. It has caused his people to be scattered in all countries, separated from their language, culture and land and never to be acquainted with their homeland again. This film tells the history of Kurdish migration to Egypt thousands of years ago, whether voluntary or forced, from the time of the pharaohs to Saladin and Mohammed Ali Pasha. And talk about the personalities who have played an important role in the development of Egypt in terms of politics, intellectual, literary, cultural and cinema. Also explore the areas where Kurds still live since ancient times ",
ANOMIA,France,Ammonite,Production,"In a parallel universe, a group of individuals devoid of identity find themselves at the mercy of a sovereign figure, letting hover her oppression with ease and condemning them to tireless mechanical gestures. From this abyss emerges a character, who by his quest for freedom, pull out herself from this gear.",
MUSA,Italy,Ludovico,Leone,"A girl kidnapped by a mysterious man is forced to stay in a ""psychological"" prison for an unknown reason.",
The Café Marron Project,United Kingdom,Abi,Rose,"A puppet based short film about the conservation success story of the Café Marron plant. The film charts the highs and lows of the project, celebrating the work of botanical scientists in a fun and inventive way. ",
We are sheep ! Not human..,India,Pradeep,Nayak,"On a busy road, there is herd of sheep, returning from their usual ground. They come across a traffic signal, which was red. Suddenly they all stopped, in the middle of the herd there is lamb, a baby lamb who does not notice that the herd has stopped. The baby's parents come rushing towards him and pull him back in a way asking him to stop where humans are crossing in red light. Once the light turns green, the entire herd starts moving forward again.",
Umaj,India,Param,Walvekar,"This short film explores the different problems faced by Dharini during the onset of her menopause and the disregard she faces from her son, Ved, whose support she most desires during this trying time. As Dharini tends to her terrace garden, her only source of hope happens to be a pomegranate tree that she had planted, blooming with fruit. Dharini tries to connect with her son through this but all attempts end up becoming futile as Ved focuses on other things in his life, leaving his mother and her terrace garden unappreciated.  The anxiety, loneliness and emotional stress the mother faces due to her menopausal phase commencing overpower her, culminating in a breaking point of her relationship with her son. ‘Umaj’ is an introspective about human actions and assumptions, and how societal norms and taboos surrounding this topic end up negatively affecting the families personally in our society. It is a short film that strives to create a dialogue amongst the youth in the country and urges them to initiate these conversations within their household with their loved and dear ones in order to improve society at large and better the lives of the ones that love unconditionally.",
The Ears Robber,France,Arno,LIOU,"In the early morning, the mayor wakes up and discovers with dread what is missing on him. His ears are gone ! Soon enough, the whole town finds itself troubled by a mysterious entity which robbs the ears from its inhabitants...",
Arm Me For Peace,Philippines,Loyd,Doron,"Alone, we can feel overwhelmed by the weight of a broken world where peace seems fragile.  But it takes just one person to start a chain reaction. One person to reach out to us and affirm our potential. And as each then connects with others, we all unite in a desire and willingness for change.  Strength comes from diversity, each with its own perspective and gift. Achieving peace is possible.  ",
The Last Note Goodbye,United States,Jay,T,Father suddenly passes away and leaves a treasure hunt for his girls to find his final note to them,
